X,Y,Z
0,0,0
93,-99,-29
-100,68,-88
-55,64,75
68,-14,-73
-38,-43,36
84,-64,80
-33,62,83
-40,34,-81
69,0,-63
-8,3,19
-50,-74,5
-91,-36,-7
-92,-83,-51
24,-27,5
-11,62,84
81,-14,21
16,-12,73
51,79,-42
50,74,86
1,-82,96
39,-44,-96
33,29,-62
-89,13,71
-38,-84,-98
52,68,-83
61,62,-25
-86,-98,65
-11,-96,48
64,-75,4
-93,-18,95
-77,-49,91
-73,27,-37
46,-67,-98
-45,-62,-24
82,-46,-17
-77,23,77
28,-29,99
66,25,-13
-36,-43,92
58,-83,-98
37,83,-98
-1,-50,-88
-3,93,-85
30,37,72
67,33,-54
27,71,92
28,25,-67
-60,57,-69
54,-49,81
