X,Y,Z
0,0,0
52,7,89
56,61,58
-95,42,29
-80,-24,24
-80,-5,43
26,66,66
-71,-18,47
8,-58,46
50,-63,-40
-68,-24,-86
8,55,-72
-20,-41,-25
96,35,-100
46,-100,30
7,67,-67
-20,68,-27
-48,-41,54
92,-95,-80
32,3,57
86,97,-16
13,39,-92
-98,81,-63
-97,-1,73
-58,50,62
-16,74,-14
35,25,95
-6,64,27
-87,50,-84
51,43,-90
-64,-44,-29
-5,26,-80
-92,-14,-34
82,-52,58
29,-94,13
33,-45,-98
68,-14,-51
-58,99,48
-29,42,17
-15,29,-77
28,60,-72
4,68,-1
-45,50,-91
13,18,-55
23,97,92
-69,-70,-26
85,55,-47
27,53,20
-55,-7,-57
24,48,-33
