X,Y,Z
0,0,0
-18,58,31
93,76,-84
-100,-2,71
-26,81,-35
74,-15,81
-4,-52,-38
77,-15,-49
-18,-58,3
99,-63,-40
30,-46,87
-86,35,66
90,-98,-12
-63,-56,-14
-51,-88,-45
90,19,-18
-50,75,67
0,11,-1
-27,12,-24
10,17,15
89,30,-44
47,80,-80
14,62,-37
72,65,-92
-66,4,10
93,-45,77
-32,97,-80
-99,-46,-38
18,-27,-66
43,-85,-50
-24,54,-66
-5,98,96
-85,7,72
41,63,17
-32,97,35
-37,9,51
34,71,-52
13,-54,-45
1,82,-9
33,-76,-2
22,-94,-90
31,93,90
31,0,-84
-68,28,-26
-52,64,95
93,67,100
-65,-4,-67
-4,-34,30
-90,68,19
