X,Y,Z
0,0,0
98,92,68
-15,85,84
62,-39,-15
-18,-32,2
60,26,13
-76,23,76
-44,68,90
85,20,-29
-67,96,90
-97,100,-44
-51,16,100
99,-39,22
61,-13,22
13,61,-74
-12,74,99
-50,91,49
-32,-68,-28
25,-3,-31
-1,52,90
-74,78,40
69,10,37
58,-59,67
-32,-75,-57
-77,28,70
4,-40,-100
50,44,-89
-18,59,15
-68,-75,55
-26,84,-83
-29,35,-48
-17,63,-68
-65,-19,-40
-76,-30,20
-5,80,20
-88,2,34
-24,-82,-83
-65,-85,12
97,44,-53
88,-21,-14
-20,88,52
-20,26,-66
-13,-87,22
-12,66,-41
-63,77,47
-84,95,87
-61,82,-47
-33,81,4
62,95,43
