X,Y,Z
0,0,0
51,72,14
-63,71,45
-16,8,22
57,-52,66
-24,-17,4
18,-25,-96
-92,-62,-78
91,99,99
-73,22,8
-76,-29,-63
-46,-92,56
10,-35,-27
9,93,-65
-93,70,-86
-44,83,-99
-27,84,5
46,96,-67
99,23,3
0,42,25
28,25,89
-100,75,-55
-87,-22,-12
-83,33,-27
32,-67,-1
-66,-100,-34
-8,-9,28
42,26,64
-45,73,34
-61,-41,93
54,-7,-71
-30,-100,6
47,-7,79
-65,95,61
-56,-77,37
-89,-47,-82
-73,72,22
-85,88,-80
-22,-39,-16
-2,-86,48
-55,-56,4
-53,75,28
37,-61,-51
99,87,31
17,7,-6
-31,-83,11
82,-74,50
40,98,93
97,24,-30
-11,96,85
99,-74,-37
